Name,Total Use of Force Incidents,Total Types of Force Reported,Pointed Firearm,Used or Discharged Firearm,Displayed Chemical Agent,Used or Deployed Chemical Agent,Pointed Elec Ctrl Wpn,Used or Deployed Elec Ctrl Wpn,Pointed Impact Wpn,Used or Deployed Impact Wpn,Chokehold or Other Similar Restraint,Conduct Resulting in Serious Bodily Injury,Conduct Resulting in Death,Not Reported
Akron Vg PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Albany City PD,3,3,1,0,0,1,1,0,0,0,0,0,0,0
Albany County Sheriff,11,13,4,0,0,5,1,3,0,0,0,0,0,0
Amherst Town PD,7,10,8,0,0,0,2,0,0,0,0,0,0,0
Amsterdam City PD,3,4,3,0,0,0,0,1,0,0,0,0,0,0
Arcade Vg PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ardsley Vg PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Auburn City PD,4,9,7,0,0,0,2,0,0,0,0,0,0,0
Ballston Spa Vg PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Batavia City PD,3,4,2,0,0,0,1,1,0,0,0,0,0,0
Bath Vg PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Bethlehem Town PD,1,2,0,0,0,0,0,2,0,0,0,0,0,0
Binghamton City PD,7,14,14,0,0,0,0,0,0,0,0,0,0,0
Brockport Vg PD,1,2,0,0,0,0,2,0,0,0,0,0,0,0
Broome County Sheriff,5,5,0,0,0,4,1,0,0,0,0,0,0,0
Buffalo City PD,21,36,27,1,3,3,0,0,0,2,0,0,0,0
Camillus Town and Vg PD,2,8,3,0,0,0,2,3,0,0,0,0,0,0
Canandaigua City PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Carthage Vg PD,1,2,0,0,1,1,0,0,0,0,0,0,0,0
Cattaraugus County Sheriff,2,2,1,0,0,0,0,1,0,0,0,0,0,0
Cayuga County Sheriff,6,6,1,0,1,2,0,2,0,0,0,0,0,0
Chautauqua County Sheriff,4,5,1,0,0,3,0,1,0,0,0,0,0,0
Cheektowaga Town PD,3,3,2,0,0,0,1,0,0,0,0,0,0,0
Chemung County Sheriff,2,2,1,0,0,0,1,0,0,0,0,0,0,0
Chenango County Sheriff,1,2,0,0,1,1,0,0,0,0,0,0,0,0
Cicero Town PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Clarkstown Town PD,2,2,1,0,0,0,1,0,0,0,0,0,0,0
Coeymans Town PD,2,2,0,0,0,0,0,0,0,0,2,0,0,0
Cohoes City PD,2,3,0,0,0,0,2,1,0,0,0,0,0,0
Colonie Town PD,6,16,14,0,0,0,2,0,0,0,0,0,0,0
Cortland City PD,6,10,0,0,0,0,4,6,0,0,0,0,0,0
Cortland County Sheriff,2,2,0,0,0,0,0,2,0,0,0,0,0,0
Deerpark Town PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Delaware County Sheriff,2,2,0,0,0,2,0,0,0,0,0,0,0,0
Depew Vg PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
DeWitt Town PD,5,13,8,1,0,0,2,2,0,0,0,0,0,0
Dutchess County Sheriff,2,4,4,0,0,0,0,0,0,0,0,0,0,0
East Greenbush Town PD,3,5,5,0,0,0,0,0,0,0,0,0,0,0
Elmira City PD,21,23,9,0,0,1,11,2,0,0,0,0,0,0
Elmira Town PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Elmsford Vg PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Endicott Vg PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Erie County Sheriff,2,2,0,0,0,2,0,0,0,0,0,0,0,0
Evans Town PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Fallsburg Town PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Finger Lakes Region Park PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Fishkill Town PD,2,3,0,0,0,0,1,1,1,0,0,0,0,0
Gates Town PD,6,10,9,0,0,1,0,0,0,0,0,0,0,0
Genesee County Sheriff,1,2,2,0,0,0,0,0,0,0,0,0,0,0
Geneva City PD,2,2,1,0,0,0,1,0,0,0,0,0,0,0
Glen Cove City PD,1,4,2,0,0,0,0,2,0,0,0,0,0,0
Glenville Town PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gloversville City PD,9,16,12,0,1,0,3,0,0,0,0,0,0,0
Greece Town PD,2,6,0,0,0,0,0,3,0,3,0,0,0,0
Greene County Sheriff,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Guilderland Town PD,1,6,2,0,1,1,2,0,0,0,0,0,0,0
Hamburg Town PD,2,3,1,0,0,0,1,1,0,0,0,0,0,0
Haverstraw Town PD,2,3,2,0,0,1,0,0,0,0,0,0,0,0
Hempstead Vg PD,6,12,8,3,0,0,0,1,0,0,0,0,0,0
Hornell City PD,4,4,1,0,1,0,2,0,0,0,0,0,0,0
Hudson City PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Ilion Vg PD,1,3,1,0,0,0,1,1,0,0,0,0,0,0
Irondequoit Town PD,7,11,10,0,0,0,1,0,0,0,0,0,0,0
Ithaca City PD,2,9,5,0,0,0,0,3,1,0,0,0,0,0
Jamestown City PD,8,25,24,0,0,0,0,1,0,0,0,0,0,0
Johnson City Vg PD,2,2,1,0,0,0,1,0,0,0,0,0,0,0
Kenmore Vg PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Kent Town PD,1,3,3,0,0,0,0,0,0,0,0,0,0,0
Lackawanna City PD,2,2,0,0,0,1,0,1,0,0,0,0,0,0
Lancaster Town PD,2,2,1,0,0,0,1,0,0,0,0,0,0,0
Larchmont Vg PD,1,2,1,0,0,0,0,1,0,0,0,0,0,0
Lewisboro Town PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Livingston County Sheriff,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Lloyd Town PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Lockport City PD,4,4,2,0,0,0,1,1,0,0,0,0,0,0
Long Island Region Park PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Madison County Sheriff,7,8,1,1,1,3,0,2,0,0,0,0,0,0
Mamaroneck Vg PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Manlius Town PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Menands Vg PD,1,2,2,0,0,0,0,0,0,0,0,0,0,0
Middletown City PD,3,5,2,0,0,0,3,0,0,0,0,0,0,0
Millerton Vg PD,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Monroe County Sheriff,7,11,11,0,0,0,0,0,0,0,0,0,0,0
Monroe Vg PD,3,3,0,0,0,0,2,1,0,0,0,0,0,0
Montgomery County Sheriff,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Montgomery Town PD,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Mount Pleasant Town PD,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Mount Vernon City PD,5,7,4,0,0,0,2,1,0,0,0,0,0,0
Nassau County PD,18,25,3,0,0,1,9,12,0,0,0,0,0,0
New Paltz Town and Vg PD,2,3,3,0,0,0,0,0,0,0,0,0,0,0
New Rochelle City PD,4,7,4,0,0,0,3,0,0,0,0,0,0,0
New York City Metro Transportation Authority,8,18,3,0,3,1,7,3,1,0,0,0,0,0
New York State Environmental Conservation Police,1,1,1,0,0,0,0,0,0,0,0,0,0,0
New York State Park Police,2,2,1,0,0,0,1,0,0,0,0,0,0,0
New York State Police,74,141,99,1,2,6,11,22,0,0,0,0,0,0
Newark Vg PD,1,2,0,0,0,0,0,2,0,0,0,0,0,0
Newburgh City PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Newburgh Town PD,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Niagara County Sheriff,3,3,0,0,0,2,0,1,0,0,0,0,0,0
Niagara Falls City PD,3,5,5,0,0,0,0,0,0,0,0,0,0,0
Niagara Frontier Transportation Authority PD,2,2,2,0,0,0,0,0,0,0,0,0,0,0
